"species","longitude","latitude","landuse","mean_temp","mean_pres"
"background_HOWR",-124.2222512,40.6773021,11,116.916664123535,101.166664123535
"background_HOWR",-124.170443,40.488791,1,116.416664123535,127
"background_HOWR",-124.197371,40.7672166,0,116.25,92.6666641235352
"background_HOWR",-124.1856122,40.8194686,0,115.916664123535,91.5
"background_HOWR",-124.1868246,40.8209493,0,115.916664123535,91.5
"background_HOWR",-124.1406651,40.6920306,1,117.833335876465,98.4166641235352
"background_HOWR",-124.1274297,40.9310474,10,117.333335876465,98.6666641235352
"background_HOWR",-124.094612,40.857361,11,118.833335876465,93.25
"background_HOWR",-124.088901,40.8790655,13,118.333335876465,95.4166641235352
"background_HOWR",-124.0356239,41.3267944,5,114.416664123535,136.66667175293
"background_HOWR",-123.9772797,40.3161846,1,90.5833358764648,154.66667175293
"background_HOWR",-123.965966,40.787206,1,99.6666641235352,135.91667175293
"background_HOWR",-123.983875,40.864584,8,121.666664123535,97.3333358764648
"background_HOWR",-123.985,40.872,1,121.5,97.4166641235352
"background_HOWR",-123.8181067,39.3542438,10,112.083335876465,85.6666641235352
"background_HOWR",-123.8028502,39.4519516,10,112.583335876465,86.4166641235352
"background_HOWR",-123.8042021,39.4727008,10,113.083335876465,86.5
"background_HOWR",-123.8452721,39.8330921,5,125.25,119.083335876465
"background_HOWR",-123.8080724,40.1147769,1,129.5,132.16667175293
"background_HOWR",-123.7643766,39.2274994,5,113.916664123535,87.8333358764648
"background_HOWR",-123.7846211,39.2767806,5,113.416664123535,87
"background_HOWR",-123.7943745,39.4889397,5,113.75,87.0833358764648
"background_HOWR",-123.7760408,39.5231046,10,115.75,88.4166641235352
"background_HOWR",-123.7051255,40.8307718,1,69.5833358764648,125.75
"background_HOWR",-123.7323403,40.874162,1,69.75,126.666664123535
"background_HOWR",-123.6951113,39.0047903,12,118.916664123535,85
"background_HOWR",-123.6903721,40.7933515,1,61.9166679382324,127.75
"background_HOWR",-123.6303184,39.5054158,1,114,112.333335876465
"background_HOWR",-123.637302,40.641484,1,77.4166641235352,125
"background_HOWR",-123.6180702,40.8862649,1,122.25,107.166664123535
"background_HOWR",-123.633348,40.9468352,1,131.91667175293,102.416664123535
"background_HOWR",-123.5500145,40.7846358,1,127.916664123535,101.166664123535
"background_HOWR",-123.580214,40.892676,1,132.91667175293,100.25
"background_HOWR",-123.5513,41.309839,1,129.33332824707,117
"background_HOWR",-123.5237503,38.7588354,0,122.083335876465,83.5
"background_HOWR",-123.545385,40.331504,1,61.25,131.5
"background_HOWR",-123.5059404,40.4686617,8,92.25,118.166664123535
"background_HOWR",-123.505859,40.512318,1,60.0833320617676,126
"background_HOWR",-123.5072064,40.5265222,1,61.5,125.333335876465
"background_HOWR",-123.539202,40.581097,8,60.25,126
"background_HOWR",-123.536464,40.7199631,1,124.083335876465,103.083335876465
"background_HOWR",-123.5494995,40.7863255,1,122.5,103.5
"background_HOWR",-123.502666,41.100732,1,60,110.833335876465
"background_HOWR",-123.549559,41.310254,1,129.66667175293,116.5
"background_HOWR",-123.480835,38.726635,10,122.166664123535,83.75
"background_HOWR",-123.4661525,39.0742439,1,127.916664123535,85.0833358764648
"background_HOWR",-123.4911489,40.0271538,8,131.75,113.333335876465
"background_HOWR",-123.4690566,40.1549983,1,93.3333358764648,121.25
"background_HOWR",-123.4643555,40.4019934,1,109.416664123535,113.5
"background_HOWR",-123.4964176,40.5012571,1,60.75,125.75
"background_HOWR",-123.4742689,40.6410365,8,130,97.6666641235352
"background_HOWR",-123.4882486,40.9549141,1,78.6666641235352,106.583335876465
"background_HOWR",-123.497057,41.1169306,1,57.5,111.166664123535
"background_HOWR",-123.43307,38.70817,5,120.833335876465,87.8333358764648
"background_HOWR",-123.4456015,39.9744234,8,136.58332824707,104.583335876465
"background_HOWR",-123.4110332,40.2637431,8,100.75,113.166664123535
"background_HOWR",-123.35512,39.40959,13,122.333335876465,105.083335876465
"background_HOWR",-123.3812714,39.542176,8,111.166664123535,113
"background_HOWR",-123.3998108,40.3334598,1,104.5,109.333335876465
"background_HOWR",-123.375113,40.8500632,1,87.0833358764648,100.166664123535
"background_HOWR",-123.3275414,38.5802449,1,120.25,85.1666641235352
"background_HOWR",-123.3272302,39.3615439,1,120.083335876465,106.333335876465
"background_HOWR",-123.3409424,39.4142994,8,123.416664123535,104.333335876465
"background_HOWR",-123.34208,40.13085,1,122.5,103
"background_HOWR",-123.3117056,40.6194253,1,114.833335876465,89.9166641235352
"background_HOWR",-123.3112335,40.6340172,1,114.25,89.75
"background_HOWR",-123.2940674,38.908133,1,120.916664123535,100.5
"background_HOWR",-123.2541561,39.7391384,8,124.666664123535,97.0833358764648
"background_HOWR",-123.2953548,40.2961556,1,62.6666679382324,121.75
"background_HOWR",-123.2032156,40.541004,8,117,80.5833358764648
"background_HOWR",-123.1889513,39.1124073,8,141.83332824707,82.8333358764648
"background_HOWR",-123.183745,39.144975,8,142,82.9166641235352
"background_HOWR",-123.1960058,39.1996105,8,141.5,84.25
"background_HOWR",-123.1637764,39.2299594,8,141,87.0833358764648
"background_HOWR",-123.1922722,40.0929123,1,80.4166641235352,113.5
"background_HOWR",-123.1935167,40.4660171,1,108.333335876465,87.5
"background_HOWR",-123.1906537,40.552436,8,117.416664123535,78.75
"background_HOWR",-123.11511,38.44961,10,127.833335876465,85.3333358764648
"background_HOWR",-123.105669,38.8758329,8,131.66667175293,92
"background_HOWR",-123.1037593,38.9862447,8,143.83332824707,81.4166641235352
"background_HOWR",-123.1424367,39.0564257,8,141.41667175293,83
"background_HOWR",-123.1286716,39.1263233,8,133.08332824707,91.5833358764648
"background_HOWR",-123.1157756,39.2571634,8,138.75,89.75
"background_HOWR",-123.1088448,39.3025242,8,141.83332824707,88.3333358764648
"background_HOWR",-123.13575,39.3215998,8,138.25,92.9166641235352
"background_HOWR",-123.1496572,39.8370466,8,132.41667175293,86.1666641235352
"background_HOWR",-123.110275,40.388711,1,79.5833358764648,105.166664123535
"background_HOWR",-123.0611831,38.3102898,11,127.416664123535,84.9166641235352
"background_HOWR",-123.0595345,38.3508782,10,128.5,83.8333358764648
"background_HOWR",-123.0866146,38.4273701,5,125.916664123535,94.4166641235352
"background_HOWR",-123.0911047,38.5545624,8,129.16667175293,97.75
"background_HOWR",-123.0503082,38.7321255,1,136.83332824707,94.9166641235352
"background_HOWR",-123.0872583,38.9134548,8,138.08332824707,86.9166641235352
"background_HOWR",-123.0847102,39.0020417,8,139.41667175293,83.75
"background_HOWR",-123.0733168,39.0315039,8,113.583335876465,101.166664123535
"background_HOWR",-123.0865717,39.2779872,12,143.08332824707,84.8333358764648
"background_HOWR",-123.0983305,39.3818639,1,129.75,92.5833358764648
"background_HOWR",-123.0966783,39.8250176,8,131.58332824707,84.5
"background_HOWR",-123.0578613,40.413496,1,103.416664123535,87.5
"background_HOWR",-123.0537415,40.7263156,8,134.66667175293,83.3333358764648
"background_HOWR",-123.068912,40.9727483,1,37.0833320617676,110.833335876465
"background_HOWR",-123.04811,38.33322,10,128.75,83.1666641235352
"background_HOWR",-123.0052471,38.4305975,1,124.75,110.416664123535
"background_HOWR",-123.038719,39.135931,8,122.5,93.0833358764648
"background_HOWR",-123.0137283,39.1745301,1,134.83332824707,86
"background_HOWR",-123.0065775,40.3801265,1,104.5,86.6666641235352
"background_HOWR",-123.0472934,40.7092124,8,134.16667175293,83.1666641235352
"background_HOWR",-123.0437046,40.7290505,8,129,82.4166641235352
"background_HOWR",-123.0253315,40.9746493,8,51.25,100.333335876465
"background_HOWR",-122.9831564,37.9974943,11,126.75,79.5
"background_HOWR",-122.9615507,38.0271821,11,127.5,80.25
"background_HOWR",-122.9548109,38.0842687,10,128.25,80.3333358764648
"background_HOWR",-122.9544713,38.1896823,12,127.25,87.5833358764648
"background_HOWR",-122.9799592,38.3837689,8,126.416664123535,108
